id,easting,northing,elevation,site,year,percAlong,distAlong
270,317922.815,4097831.366,2164.685643,AHA,2021,0.075949367,70.87595205
271,317922.815,4097831.366,2164.685643,AHA,2021,0.076230661,71.13845558
272,317923.2975,4097831.274,2164.693701,AHA,2021,0.076511955,71.4009591
273,317923.3894,4097831.257,2164.694499,AHA,2021,0.076793249,71.66346263
274,317923.3894,4097831.257,2164.694499,AHA,2021,0.077074543,71.92596615
275,317923.8362,4097831.271,2164.713263,AHA,2021,0.077355837,72.18846968
276,317923.8362,4097831.271,2164.713263,AHA,2021,0.077637131,72.45097321
277,317924.3786,4097831.117,2164.678654,AHA,2021,0.077918425,72.71347673
278,317924.3786,4097831.117,2164.678654,AHA,2021,0.078199719,72.97598026
279,317924.8539,4097830.984,2164.679007,AHA,2021,0.078481013,73.23848378
280,317924.8539,4097830.984,2164.679007,AHA,2021,0.078762307,73.50098731
281,317925.3389,4097831.072,2164.722984,AHA,2021,0.079043601,73.76349084
282,317925.3389,4097831.072,2164.722984,AHA,2021,0.079324895,74.02599436
283,317925.7389,4097831.272,2164.756168,AHA,2021,0.079606188,74.28849789
284,317925.9389,4097831.372,2164.769039,AHA,2021,0.079887482,74.55100141
285,317925.9389,4097831.372,2164.769039,AHA,2021,0.080168776,74.81350494
286,317926.3239,4097831.595,2164.801505,AHA,2021,0.08045007,75.07600847
287,317926.3239,4097831.595,2164.801505,AHA,2021,0.080731364,75.33851199
288,317926.5711,4097831.792,2164.798845,AHA,2021,0.081012658,75.60101552
289,317926.8613,4097832.049,2164.768177,AHA,2021,0.081293952,75.86351905
290,317926.8613,4097832.049,2164.768177,AHA,2021,0.081575246,76.12602257
291,317926.9027,4097832.546,2164.71842,AHA,2021,0.08185654,76.3885261
292,317926.9876,4097832.943,2164.738757,AHA,2021,0.082137834,76.65102962
293,317926.9876,4097832.943,2164.738757,AHA,2021,0.082419128,76.91353315
294,317927.3143,4097833.211,2164.768555,AHA,2021,0.082700422,77.17603668
295,317927.3143,4097833.211,2164.768555,AHA,2021,0.082981716,77.4385402
296,317927.7907,4097833.317,2164.902965,AHA,2021,0.08326301,77.70104373
297,317927.7924,4097833.55,2164.810385,AHA,2021,0.083544304,77.96354725
298,317927.7924,4097833.55,2164.810385,AHA,2021,0.083825598,78.22605078
299,317927.7924,4097834.05,2164.722564,AHA,2021,0.084106892,78.48855431
300,317927.831,4097834.56,2164.720547,AHA,2021,0.084388186,78.75105783
301,317927.831,4097834.56,2164.720547,AHA,2021,0.08466948,79.01356136
302,317928.0425,4097834.944,2164.782549,AHA,2021,0.084950774,79.27606488
303,317928.1592,4097835.155,2164.813301,AHA,2021,0.085232068,79.53856841
304,317928.3658,4097835.544,2164.880856,AHA,2021,0.085513361,79.80107194
305,317928.3658,4097835.544,2164.880856,AHA,2021,0.085794655,80.06357546
306,317928.5397,4097835.973,2164.983395,AHA,2021,0.086075949,80.32607899
307,317928.6102,4097836.147,2164.982043,AHA,2021,0.086357243,80.58858252
308,317928.7842,4097836.577,2164.93553,AHA,2021,0.086638537,80.85108604
309,317928.9582,4097837.006,2164.883831,AHA,2021,0.086919831,81.11358957
310,317929.1322,4097837.436,2164.856221,AHA,2021,0.087201125,81.37609309
311,317929.2026,4097837.61,2164.846743,AHA,2021,0.087482419,81.63859662
312,317929.3766,4097838.039,2164.865819,AHA,2021,0.087763713,81.90110015
313,317929.3766,4097838.039,2164.865819,AHA,2021,0.088045007,82.16360367
314,317929.8267,4097838.26,2164.862888,AHA,2021,0.088326301,82.4261072
315,317929.8267,4097838.26,2164.862888,AHA,2021,0.088607595,82.68861072
316,317929.8816,4097838.266,2164.862849,AHA,2021,0.088888889,82.95111425
317,317930.205,4097838.61,2164.875628,AHA,2021,0.089170183,83.21361778
318,317930.205,4097838.61,2164.875628,AHA,2021,0.089451477,83.4761213
319,317930.4559,4097838.964,2164.89356,AHA,2021,0.089732771,83.73862483
320,317930.6538,4097839.209,2164.899935,AHA,2021,0.090014065,84.00112835
321,317930.8986,4097839.51,2164.88673,AHA,2021,0.090295359,84.26363188
